PRODUCT_COD,PRODUCT_NAME,PRODUCT_VAL,DEP_NAME,DEP_COD,SECTION_NAME,SECTION_COD
10,Acido Tranexamico 250mg Generico EMS 12 Comprimidos,36.71,MEDICAMENTOS GENÉRICOS,10,CIRCULAÇÃO,40
11,Bissulfato de Clopidogrel 75mg Generico Teuto 30 Comprimidos,66.51,MEDICAMENTOS GENÉRICOS,10,CIRCULAÇÃO,40
12,Cloridrato de Amiodarona 200mg Generico Biosintetica 30 Comprimidos,31.17,MEDICAMENTOS GENÉRICOS,10,CIRCULAÇÃO,40
13,Acido Tranexâmico 250mg Generico Legrand 12 Comprimidos,36.71,MEDICAMENTOS GENÉRICOS,10,CIRCULAÇÃO,40
14,Cloridrato Oximetazolina Adulto 5mg/ml Genérico EMS 30ml,12.08,MEDICAMENTOS GENÉRICOS,10,GRIPES E RESFRIADOS,41
15,Carbocisteína Adulto 50mg/Ml Genérico Cimed 100ml Xarope,18.11,MEDICAMENTOS GENÉRICOS,10,GRIPES E RESFRIADOS,41
16,Aguardente NEGA FULO TERRACOTA Garrafa 700ml,59.90,BEBIDAS,2,BEBIDAS,4
17,"Guaifenesina 13,3mg/mL Genérico Xarope Sabor Cereja Neo Química 120ml",17.97,MEDICAMENTOS GENÉRICOS,10,GRIPES E RESFRIADOS,41
18,Vinho Brasileiro Tinto Cabernet Sauvignon MARCUS JAMES Garrafa 375ml,10.90,BEBIDAS,2,VINHOS,30
19,Carbocisteína Xarope Genérico Prati 100ml,22.80,MEDICAMENTOS GENÉRICOS,10,GRIPES E RESFRIADOS,41
20,Cloridrato de Terbinafina 250mg Genérico Prati-Donaduzzi 14 Comprimidos,75.41,MEDICAMENTOS GENÉRICOS,10,PELE E MUCOSA,42
21,Fluconazol 150mg Genérico Medley 1 Cápsula,22.48,MEDICAMENTOS GENÉRICOS,10,PELE E MUCOSA,42
22,Cetoconazol 20mg Genérico Cimed 30g Creme,17.97,MEDICAMENTOS GENÉRICOS,10,PELE E MUCOSA,42
23,Nistatina+ Oxido Zinco Genérico Neo Química 60g,20.15,MEDICAMENTOS GENÉRICOS,10,PELE E MUCOSA,42
24,Daflon 1000mg Servier 30 comprimidos revestidos,125.46,MEDICAMENTOS REFERÊNCIA,11,CIRCULAÇÃO,43
