STORE_CODE,DATE,SALES_VALUE,SALES_QTY
1,2014-11-23,111387.87,7227
10,2014-11-23,63256.35,4362
11,2014-11-23,62680.86,4257
12,2014-11-23,62680.86,4257
13,2014-11-23,111387.87,7227
14,2014-11-23,111387.87,7227
15,2014-11-23,111387.87,7227
16,2014-11-23,111387.87,7227
17,2014-11-23,53192.7,3960
18,2014-11-23,53192.7,3960
19,2014-11-23,53192.7,3960
20,2014-11-23,53192.7,3960
3,2014-11-23,111387.87,7227
4,2014-11-23,111387.87,7227
5,2014-11-23,111387.87,7227
6,2014-11-23,111387.87,7227
7,2014-11-23,111387.87,7227
8,2014-11-23,111387.87,7227
9,2014-11-23,64181.35,4470
1,2014-11-24,118138.65,7665
10,2014-11-24,67096.25,4627
11,2014-11-24,66479.7,4515
12,2014-11-24,66479.7,4515
13,2014-11-24,118138.65,7665
14,2014-11-24,118138.65,7665
15,2014-11-24,118138.65,7665
16,2014-11-24,118138.65,7665
17,2014-11-24,56416.5,4200
18,2014-11-24,56416.5,4200
19,2014-11-24,56416.5,4200
20,2014-11-24,56416.5,4200
3,2014-11-24,118138.65,7665
4,2014-11-24,118138.65,7665
5,2014-11-24,118138.65,7665
6,2014-11-24,118138.65,7665
7,2014-11-24,118138.65,7665
8,2014-11-24,118138.65,7665
9,2014-11-24,68080.25,4742
1,2014-11-25,262155.29,17009
10,2014-11-25,148870.45,10264
11,2014-11-25,147521.62,10019
12,2014-11-25,147521.62,10019
13,2014-11-25,262155.29,17009
14,2014-11-25,262155.29,17009
15,2014-11-25,262155.29,17009
16,2014-11-25,262155.29,17009
17,2014-11-25,125190.9,9320
18,2014-11-25,125190.9,9320
19,2014-11-25,125190.9,9320
20,2014-11-25,125190.9,9320
3,2014-11-25,262155.29,17009
4,2014-11-25,262155.29,17009
5,2014-11-25,262155.29,17009
6,2014-11-25,262155.29,17009
7,2014-11-25,262155.29,17009
8,2014-11-25,262155.29,17009
9,2014-11-25,151043.45,10522
1,2014-11-26,175520.28,11388
10,2014-11-26,99668.4,6871
11,2014-11-26,98769.84,6708
12,2014-11-26,98769.84,6708
13,2014-11-26,175520.28,11388
14,2014-11-26,175520.28,11388
15,2014-11-26,175520.28,11388
16,2014-11-26,175520.28,11388
17,2014-11-26,83818.8,6240
18,2014-11-26,83818.8,6240
19,2014-11-26,83818.8,6240
20,2014-11-26,83818.8,6240
3,2014-11-26,175520.28,11388
4,2014-11-26,175520.28,11388
5,2014-11-26,175520.28,11388
6,2014-11-26,175520.28,11388
7,2014-11-26,175520.28,11388
8,2014-11-26,175520.28,11388
9,2014-11-26,101122.4,7042
1,2014-11-27,169894.63,11023
10,2014-11-27,96476.15,6652
11,2014-11-27,95604.14,6493
12,2014-11-27,95604.14,6493
13,2014-11-27,169894.63,11023
14,2014-11-27,169894.63,11023
15,2014-11-27,169894.63,11023
16,2014-11-27,169894.63,11023
17,2014-11-27,81132.3,6040
18,2014-11-27,81132.3,6040
19,2014-11-27,81132.3,6040
20,2014-11-27,81132.3,6040
3,2014-11-27,169894.63,11023
4,2014-11-27,169894.63,11023
5,2014-11-27,169894.63,11023
6,2014-11-27,169894.63,11023
7,2014-11-27,169894.63,11023
8,2014-11-27,169894.63,11023
9,2014-11-27,97883.15,6818
1,2014-11-28,148517.16,9636
10,2014-11-28,84350.8,5816
11,2014-11-28,83574.48,5676
12,2014-11-28,83574.48,5676
13,2014-11-28,148517.16,9636
14,2014-11-28,148517.16,9636
15,2014-11-28,148517.16,9636
16,2014-11-28,148517.16,9636
17,2014-11-28,70923.6,5280
18,2014-11-28,70923.6,5280
19,2014-11-28,70923.6,5280
20,2014-11-28,70923.6,5280
3,2014-11-28,148517.16,9636
4,2014-11-28,148517.16,9636
5,2014-11-28,148517.16,9636
6,2014-11-28,148517.16,9636
7,2014-11-28,148517.16,9636
8,2014-11-28,148517.16,9636
9,2014-11-28,85585.8,5961
1,2014-11-29,114763.26,7446
10,2014-11-29,65170.3,4493
11,2014-11-29,64580.28,4386
12,2014-11-29,64580.28,4386
13,2014-11-29,114763.26,7446
14,2014-11-29,114763.26,7446
15,2014-11-29,114763.26,7446
16,2014-11-29,114763.26,7446
17,2014-11-29,54804.6,4080
18,2014-11-29,54804.6,4080
19,2014-11-29,54804.6,4080
20,2014-11-29,54804.6,4080
3,2014-11-29,114763.26,7446
4,2014-11-29,114763.26,7446
5,2014-11-29,114763.26,7446
6,2014-11-29,114763.26,7446
7,2014-11-29,114763.26,7446
8,2014-11-29,114763.26,7446
9,2014-11-29,66121.3,4606
1,2014-11-30,121514.04,7884
10,2014-11-30,69013.2,4758
11,2014-11-30,68379.12,4644
12,2014-11-30,68379.12,4644
13,2014-11-30,121514.04,7884
14,2014-11-30,121514.04,7884
15,2014-11-30,121514.04,7884
16,2014-11-30,121514.04,7884
17,2014-11-30,58028.4,4320
18,2014-11-30,58028.4,4320
19,2014-11-30,58028.4,4320
20,2014-11-30,58028.4,4320
3,2014-11-30,121514.04,7884
4,2014-11-30,121514.04,7884
5,2014-11-30,121514.04,7884
6,2014-11-30,121514.04,7884
7,2014-11-30,121514.04,7884
8,2014-11-30,121514.04,7884
9,2014-11-30,70023.2,4877
1,2014-12-01,123764.3,8030
10,2014-12-01,70293.5,4847
11,2014-12-01,69645.4,4730
12,2014-12-01,69645.4,4730
13,2014-12-01,123764.3,8030
14,2014-12-01,123764.3,8030
15,2014-12-01,123764.3,8030
16,2014-12-01,123764.3,8030
17,2014-12-01,59103.0,4400
18,2014-12-01,59103.0,4400
19,2014-12-01,59103.0,4400
20,2014-12-01,59103.0,4400
3,2014-12-01,123764.3,8030
4,2014-12-01,123764.3,8030
5,2014-12-01,123764.3,8030
6,2014-12-01,123764.3,8030
7,2014-12-01,123764.3,8030
8,2014-12-01,123764.3,8030
9,2014-12-01,71325.5,4967
1,2014-12-02,228401.39,14819
10,2014-12-02,129700.95,8943
11,2014-12-02,128527.42,8729
12,2014-12-02,128527.42,8729
13,2014-12-02,228401.39,14819
14,2014-12-02,228401.39,14819
15,2014-12-02,228401.39,14819
16,2014-12-02,228401.39,14819
17,2014-12-02,109071.9,8120
18,2014-12-02,109071.9,8120
19,2014-12-02,109071.9,8120
20,2014-12-02,109071.9,8120
3,2014-12-02,228401.39,14819
4,2014-12-02,228401.39,14819
5,2014-12-02,228401.39,14819
6,2014-12-02,228401.39,14819
7,2014-12-02,228401.39,14819
8,2014-12-02,228401.39,14819
9,2014-12-02,131591.95,9166
1,2014-12-03,155267.94,10074
10,2014-12-03,88182.7,6080
11,2014-12-03,87373.32,5934
12,2014-12-03,87373.32,5934
13,2014-12-03,155267.94,10074
14,2014-12-03,155267.94,10074
15,2014-12-03,155267.94,10074
16,2014-12-03,155267.94,10074
17,2014-12-03,74147.4,5520
18,2014-12-03,74147.4,5520
19,2014-12-03,74147.4,5520
20,2014-12-03,74147.4,5520
3,2014-12-03,155267.94,10074
4,2014-12-03,155267.94,10074
5,2014-12-03,155267.94,10074
6,2014-12-03,155267.94,10074
7,2014-12-03,155267.94,10074
8,2014-12-03,155267.94,10074
9,2014-12-03,89473.7,6232
1,2014-12-04,162018.72,10512
10,2014-12-04,92015.6,6345
11,2014-12-04,91172.16,6192
12,2014-12-04,91172.16,6192
13,2014-12-04,162018.72,10512
14,2014-12-04,162018.72,10512
15,2014-12-04,162018.72,10512
16,2014-12-04,162018.72,10512
17,2014-12-04,77371.2,5760
18,2014-12-04,77371.2,5760
19,2014-12-04,77371.2,5760
20,2014-12-04,77371.2,5760
3,2014-12-04,162018.72,10512
4,2014-12-04,162018.72,10512
5,2014-12-04,162018.72,10512
6,2014-12-04,162018.72,10512
7,2014-12-04,162018.72,10512
8,2014-12-04,162018.72,10512
9,2014-12-04,93363.6,6503
